给我一个桌子,Instantiation
我需要一个桌子,Instantiation
桌子在哪里,Instantiation
我想把一个桌子放在左下角,Instantiation
我想把一个桌子放在正中央,Instantiation
那个正中央的桌子呢,Instantiation
桌子呀，快来吧,Instantiation
那个正中央的桌子呢,Instantiation
我需要一张桌子,Instantiation
我需要一把椅子和一个桌子,Instantiation
我需要两把桌子和一把椅子,Instantiation
我需要两张桌子和两张椅子,Instantiation
给我一个椅子,Instantiation
我需要一个椅子,Instantiation
椅子在哪里,Instantiation
我想把一个椅子放在左下角,Instantiation
我想把一个椅子放在正中央,Instantiation
那个正中央的椅子呢,Instantiation
椅子呀，快来吧,Instantiation
那个正中央的椅子呢,Instantiation
我需要一张椅子,Instantiation
我需要一把桌子和一个椅子,Instantiation
我需要两把椅子和一把桌子,Instantiation
我需要两张椅子和两张桌子,Instantiation
我想找个地方坐着,Instantiation
我想有个桌子,Instantiation
给我桌子,Instantiation
给我椅子,Instantiation
整张桌子,Instantiation
拿张桌子,Instantiation
拿把桌子,Instantiation
给我桌子,Instantiation
给我椅子,Instantiation
我需要两张椅子和两张桌子,Instantiation
我想找个地方坐着,Instantiation
我想有个桌子,Instantiation
给我桌子,Instantiation
给我椅子,Instantiation
我不想要那个桌子了,Delete
请把2号桌子删掉,Delete
1号桌子好碍眼,Delete
我不想要1号桌子了,Delete
给我去掉那个椅子,Delete
我不需要那个椅子了，麻烦删掉，谢谢,Delete
把那个桌子删掉,Delete
让那个桌子滚,Delete
有什么办法能把那个桌子挪走呢,Delete
我不想要1号桌子了,Delete
请帮我去掉那个椅子，谢谢,Delete
删掉1号桌子,Delete
去掉1号桌子,Delete
求求你了，我不想要1号桌子了,Delete
让那个桌子在我的视野中消失,Delete
请帮我删掉那2把桌子和椅子,Delete
我想去掉桌子和椅子各两把,Delete
删掉他,Delete
去掉他,Delete
我不想要那个桌子了,Delete
请把2号桌子删掉,Delete
1号桌子好碍眼,Delete
我不想要1号桌子了,Delete
给我去掉那个椅子,Delete
我不需要那个椅子了，麻烦删掉，谢谢,Delete
把那个桌子删掉,Delete
让那个桌子滚,Delete
有什么办法能把那个桌子挪走呢,Delete
我不想要1号桌子了,Delete
请帮我去掉那个椅子，谢谢,Delete
删掉1号桌子,Delete
去掉1号桌子,Delete
求求你了，我不想要1号桌子了,Delete
让那个桌子在我的视野中消失,Delete
请帮我删掉那2把桌子和椅子,Delete
我想去掉桌子和椅子各两把,Delete
删掉他,Delete
去掉他,Delete
我不想要那个桌子了,Delete
请把2号桌子删掉,Delete
1号桌子好碍眼,Delete
我不想要1号桌子了,Delete
给我去掉那个椅子,Delete
我不需要那个椅子了，麻烦删掉，谢谢,Delete
把那个桌子删掉,Delete
让那个桌子滚,Delete
有什么办法能把那个桌子挪走呢,Delete
我不想要1号桌子了,Delete
请帮我去掉那个椅子，谢谢,Delete
删掉1号桌子,Delete
去掉1号桌子,Delete
求求你了，我不想要1号桌子了,Delete
让那个桌子在我的视野中消失,Delete
请帮我删掉那2把桌子和椅子,Delete
我想去掉桌子和椅子各两把,Delete
删掉他,Delete
搞掉他,Delete
丢,Delete
把桌子移到右上角,Transition
把椅子移到左下角,Transition
把那个桌子挪开,Transition
那个桌子放在那里好碍事，帮我移走,Transition
帮我把左下角的桌子挪到右上角,Transition
把那个椅子挪开,Transition
帮我把椅子从中间挪到右边,Transition
帮我把两边的桌子挪到中间,Transition
帮我把中间的桌子挪到两边,Transition
将中间的桌子挪到右边,Transition
将2号桌子挪到右边,Transition
将1号桌子挪到左边,Transition
将3号桌子挪到右上角,Transition
把椅子挪下去,Transition
把椅子放下去,Transition
来人，把桌子抬上来,Transition
把1号椅子放下去,Transition
放下1号椅子,Transition
把2号桌子放上来,Transition
把桌子放在椅子的上方,Transition
把桌子移到右上角,Transition
把椅子移到左下角,Transition
把那个桌子挪开,Transition
那个桌子放在那里好碍事，帮我移走,Transition
帮我把左下角的桌子挪到右上角,Transition
把那个椅子挪开,Transition
帮我把椅子从中间挪到右边,Transition
帮我把两边的桌子挪到中间,Transition
帮我把中间的桌子挪到两边,Transition
将中间的桌子挪到右边,Transition
将2号桌子挪到右边,Transition
将1号桌子挪到左边,Transition
将3号桌子挪到右上角,Transition
把椅子挪下去,Transition
把椅子放下去,Transition
来人，把桌子抬上来,Transition
把1号椅子放下去,Transition
放下1号椅子,Transition
把2号桌子放上来,Transition
把桌子放在椅子的上方,Transition
把桌子移到右上角,Transition
把椅子移到左下角,Transition
把那个桌子挪开,Transition
那个桌子放在那里好碍事，帮我移走,Transition
帮我把左下角的桌子挪到右上角,Transition
把那个椅子挪开,Transition
帮我把椅子从中间挪到右边,Transition
帮我把两边的桌子挪到中间,Transition
帮我把中间的桌子挪到两边,Transition
将中间的桌子挪到右边,Transition
将2号桌子挪到右边,Transition
将1号桌子挪到左边,Transition
将3号桌子挪到右上角,Transition
把椅子挪下去,Transition
把椅子放下去,Transition
来人，把桌子抬上来,Transition
把1号椅子放下去,Transition
放下1号椅子,Transition
把2号桌子放上来,Transition
把桌子放在椅子的上方,Transition
把桌子移到右上角,Transition
把椅子移到左下角,Transition
把那个桌子挪开,Transition
那个桌子放在那里好碍事，帮我移走,Transition
帮我把左下角的桌子挪到右上角,Transition
把那个椅子挪开,Transition
帮我把椅子从中间挪到右边,Transition
帮我把两边的桌子挪到中间,Transition
帮我把中间的桌子挪到两边,Transition
将中间的桌子挪到右边,Transition
将2号桌子挪到右边,Transition
将1号桌子挪到左边,Transition
将3号桌子挪到右上角,Transition
把椅子挪下去,Transition
把椅子放下去,Transition
来人，把桌子抬上来,Transition
把1号椅子放下去,Transition
放下1号椅子,Transition
把2号桌子放上来,Transition
把桌子放在椅子的上方,Transition
调暗桌子,ChangeColor
调亮椅子,ChangeColor
把桌子变暗,ChangeColor
把1号桌子的颜色变暗,ChangeColor
调亮2号椅子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成红色,ChangeColor
把那个椅子变成红色,ChangeColor
我想将那个椅子变成白色，谢谢,ChangeColor
你好，我能将1号椅子变成红色吗,ChangeColor
怎么才能将我的椅子变成白色呢,ChangeColor
把那个椅子换成绿色,ChangeColor
我更想让1号椅子变成白色,ChangeColor
如果有一把椅子，那他一定是白色,ChangeColor
那个椅子会变成白色,ChangeColor
把1号桌子变成白色吧,ChangeColor
调暗凳子,ChangeColor
调亮鞋子,ChangeColor
把椅子变暗,ChangeColor
把1号椅子的颜色变暗,ChangeColor
调亮2号房子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成绿色,ChangeColor
把那个椅子变成蓝色,ChangeColor
我想将那个椅子变成粉色，谢谢,ChangeColor
你好，我能将2号椅子变成黑色吗,ChangeColor
怎么才能将我的椅子变成青色呢,ChangeColor
把那个椅子换成蓝色,ChangeColor
我更想让1号椅子变成粉色,ChangeColor
如果有一把椅子，那他一定是橙色,ChangeColor
那个椅子会变成黄色,ChangeColor
把1号桌子变成金色吧,ChangeColor
调暗桌子,ChangeColor
调亮椅子,ChangeColor
把桌子变暗,ChangeColor
把1号桌子的颜色变暗,ChangeColor
调亮2号椅子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成红色,ChangeColor
把那个椅子变成红色,ChangeColor
我想将那个椅子变成白色，谢谢,ChangeColor
你好，我能将1号椅子变成红色吗,ChangeColor
怎么才能将我的椅子变成白色呢,ChangeColor
把那个椅子换成绿色,ChangeColor
我更想让1号椅子变成白色,ChangeColor
如果有一把椅子，那他一定是白色,ChangeColor
那个椅子会变成白色,ChangeColor
把1号桌子变成白色吧,ChangeColor
调暗凳子,ChangeColor
调亮鞋子,ChangeColor
把椅子变暗,ChangeColor
把1号椅子的颜色变暗,ChangeColor
调亮2号房子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成绿色,ChangeColor
把那个椅子变成蓝色,ChangeColor
我想将那个椅子变成粉色，谢谢,ChangeColor
你好，我能将2号椅子变成黑色吗,ChangeColor
怎么才能将我的椅子变成青色呢,ChangeColor
把那个椅子换成蓝色,ChangeColor
我更想让1号椅子变成粉色,ChangeColor
如果有一把椅子，那他一定是橙色,ChangeColor
那个椅子会变成黄色,ChangeColor
把1号桌子变成金色吧,ChangeColor
调暗桌子,ChangeColor
调亮椅子,ChangeColor
把桌子变暗,ChangeColor
把1号桌子的颜色变暗,ChangeColor
调亮2号椅子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成红色,ChangeColor
把那个椅子变成红色,ChangeColor
我想将那个椅子变成白色，谢谢,ChangeColor
你好，我能将1号椅子变成红色吗,ChangeColor
怎么才能将我的椅子变成白色呢,ChangeColor
把那个椅子换成绿色,ChangeColor
我更想让1号椅子变成白色,ChangeColor
如果有一把椅子，那他一定是白色,ChangeColor
那个椅子会变成白色,ChangeColor
把1号桌子变成白色吧,ChangeColor
调暗凳子,ChangeColor
调亮鞋子,ChangeColor
把椅子变暗,ChangeColor
把1号椅子的颜色变暗,ChangeColor
调亮2号房子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成绿色,ChangeColor
把那个椅子变成蓝色,ChangeColor
我想将那个椅子变成粉色，谢谢,ChangeColor
你好，我能将2号椅子变成黑色吗,ChangeColor
怎么才能将我的椅子变成青色呢,ChangeColor
把那个椅子换成蓝色,ChangeColor
我更想让1号椅子变成粉色,ChangeColor
如果有一把椅子，那他一定是橙色,ChangeColor
那个椅子会变成黄色,ChangeColor
把1号桌子变成金色吧,ChangeColor
调暗桌子,ChangeColor
调亮椅子,ChangeColor
把桌子变暗,ChangeColor
把1号桌子的颜色变暗,ChangeColor
调亮2号椅子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成红色,ChangeColor
把那个椅子变成红色,ChangeColor
我想将那个椅子变成白色，谢谢,ChangeColor
你好，我能将1号椅子变成红色吗,ChangeColor
怎么才能将我的椅子变成白色呢,ChangeColor
把那个椅子换成绿色,ChangeColor
我更想让1号椅子变成白色,ChangeColor
如果有一把椅子，那他一定是白色,ChangeColor
那个椅子会变成白色,ChangeColor
把1号桌子变成白色吧,ChangeColor
调暗凳子,ChangeColor
调亮鞋子,ChangeColor
把椅子变暗,ChangeColor
把1号椅子的颜色变暗,ChangeColor
调亮2号房子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成绿色,ChangeColor
把那个椅子变成蓝色,ChangeColor
我想将那个椅子变成粉色，谢谢,ChangeColor
你好，我能将2号椅子变成黑色吗,ChangeColor
怎么才能将我的椅子变成青色呢,ChangeColor
把那个椅子换成蓝色,ChangeColor
我更想让1号椅子变成粉色,ChangeColor
如果有一把椅子，那他一定是橙色,ChangeColor
那个椅子会变成黄色,ChangeColor
把1号桌子变成金色吧,ChangeColor
调暗桌子,ChangeColor
调亮椅子,ChangeColor
把桌子变暗,ChangeColor
把1号桌子的颜色变暗,ChangeColor
调亮2号椅子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成红色,ChangeColor
把那个椅子变成红色,ChangeColor
我想将那个椅子变成白色，谢谢,ChangeColor
你好，我能将1号椅子变成红色吗,ChangeColor
怎么才能将我的椅子变成白色呢,ChangeColor
把那个椅子换成绿色,ChangeColor
我更想让1号椅子变成白色,ChangeColor
如果有一把椅子，那他一定是白色,ChangeColor
那个椅子会变成白色,ChangeColor
把1号桌子变成白色吧,ChangeColor
调暗凳子,ChangeColor
调亮鞋子,ChangeColor
把椅子变暗,ChangeColor
把1号椅子的颜色变暗,ChangeColor
调亮2号房子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成绿色,ChangeColor
把那个椅子变成蓝色,ChangeColor
我想将那个椅子变成粉色，谢谢,ChangeColor
你好，我能将2号椅子变成黑色吗,ChangeColor
怎么才能将我的椅子变成青色呢,ChangeColor
把那个椅子换成蓝色,ChangeColor
我更想让1号椅子变成粉色,ChangeColor
如果有一把椅子，那他一定是橙色,ChangeColor
那个椅子会变成黄色,ChangeColor
把1号桌子变成金色吧,ChangeColor
调暗桌子,ChangeColor
调亮椅子,ChangeColor
把桌子变暗,ChangeColor
把1号桌子的颜色变暗,ChangeColor
调亮2号椅子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成红色,ChangeColor
把那个椅子变成红色,ChangeColor
我想将那个椅子变成白色，谢谢,ChangeColor
你好，我能将1号椅子变成红色吗,ChangeColor
怎么才能将我的椅子变成白色呢,ChangeColor
把那个椅子换成绿色,ChangeColor
我更想让1号椅子变成白色,ChangeColor
如果有一把椅子，那他一定是白色,ChangeColor
那个椅子会变成白色,ChangeColor
把1号桌子变成白色吧,ChangeColor
调暗凳子,ChangeColor
调亮鞋子,ChangeColor
把椅子变暗,ChangeColor
把1号椅子的颜色变暗,ChangeColor
调亮2号房子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成绿色,ChangeColor
把那个椅子变成蓝色,ChangeColor
我想将那个椅子变成粉色，谢谢,ChangeColor
你好，我能将2号椅子变成黑色吗,ChangeColor
怎么才能将我的椅子变成青色呢,ChangeColor
把那个椅子换成蓝色,ChangeColor
我更想让1号椅子变成粉色,ChangeColor
如果有一把椅子，那他一定是橙色,ChangeColor
那个椅子会变成黄色,ChangeColor
把1号桌子变成金色吧,ChangeColor
调暗桌子,ChangeColor
调亮椅子,ChangeColor
把桌子变暗,ChangeColor
把1号桌子的颜色变暗,ChangeColor
调亮2号椅子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成红色,ChangeColor
把那个椅子变成红色,ChangeColor
我想将那个椅子变成白色，谢谢,ChangeColor
你好，我能将1号椅子变成红色吗,ChangeColor
怎么才能将我的椅子变成白色呢,ChangeColor
把那个椅子换成绿色,ChangeColor
我更想让1号椅子变成白色,ChangeColor
如果有一把椅子，那他一定是白色,ChangeColor
那个椅子会变成白色,ChangeColor
把1号桌子变成白色吧,ChangeColor
调暗凳子,ChangeColor
调亮鞋子,ChangeColor
把椅子变暗,ChangeColor
把1号椅子的颜色变暗,ChangeColor
调亮2号房子,ChangeColor
调暗1号桌子,ChangeColor
把那个桌子变成绿色,ChangeColor
把那个椅子变成蓝色,ChangeColor
我想将那个椅子变成粉色，谢谢,ChangeColor
你好，我能将2号椅子变成黑色吗,ChangeColor
怎么才能将我的椅子变成青色呢,ChangeColor
把那个椅子换成蓝色,ChangeColor
我更想让1号椅子变成粉色,ChangeColor
如果有一把椅子，那他一定是橙色,ChangeColor
那个椅子会变成黄色,ChangeColor
把1号桌子变成金色吧,ChangeColor
